Media,Media Channel ,Marketing Funnel,Objective,Ad format, Creative,Key Measurement,cpv/cpe,,,,
Meta,"FB/IG/FB&IG/平均值",Awareness,Awareness,Image&Video Link Ads,Image&Video,CPM,cpe,,,,
Meta,"FB/IG/FB&IG/平均值",Consideration,Video Views,Video Link Ads,Video,CPV,cpv,,,,
Meta,"FB/IG/FB&IG/平均值",Traffic,Traffic,Image&Video Link Ads,Image&Video,CPC,cpe,,,,
Meta,"FB/IG/FB&IG/平均值",Conversion,Conversion,ASC,Image&Video,CPA,cpe,,,,
Meta,"FB/IG/FB&IG/平均值",Conversion,Conversion,Image&Video Link Ads,Image&Video,CPA,cpe,,,,
Meta,"FB/IG/FB&IG/平均值",Conversion,Conversion,CPAS-Collection,Image&Video,CPA,cpe,,,,
Google,GG,Awareness,Awareness,GDN(CPM),Image,CPM,cpe,,,,
Google,GG,Traffic,Traffic,GDN(CPC),Image,CPC,cpe,,,,
Google,GG,Traffic,Traffic,Search,Text,CPC,cpe,,,,
Google,GG,Traffic,Traffic,Demand Gen,Image,CPC,cpe,,,,
Google,GG,Conversion,Conversion,Performance Max,Image,CPA,cpe,,,,
Google,GG,Conversion,Conversion,Search,Text,CPA,cpe,,,,
Google,GG,Conversion,Conversion,Product Listing Ads(PLA),Feed,CPA,cpe,,,,
Google,YTB,Awareness,Awareness,Masthead(CPM),Video,CPM,cpe,,,,
Google,YTB,Awareness,Awareness,YouTube Select,Video,CPM,cpe,,,,
Google,YTB,Awareness,Awareness,VRC 2.0,Video,CPM,cpe,,,,
Google,YTB,Awareness,Awareness,Non-skippable reach,Video,CPM,cpe,,,,
Google,YTB,Consideration,Video Views,VVC,Video,CPV,cpv,,,,
TikTok,TT,Awareness,Reach,Image&Video Link Ads,Video,CPM,cpe,,,,
TikTok,TT,Consideration,Video Views,Image&Video Link Ads,Video,CPV,cpv,,,,
TikTok,TT,Traffic,Traffic,Image&Video Link Ads,Video,CPC,cpe,,,,
TikTok,TT,Conversion,Conversion,Image&Video Link Ads,Video,CPA,cpe,,,,
